Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,2-3h,1-2km;34.76158905;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,3-4h,1-2km;47.9871788;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,4-5h,1-2km;61.27755737;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,5-6h,1-2km;74.89476013;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,6-7h,1-2km;88.51199341;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,7-8h,1-2km;102.1292343;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,8-9h,1-2km;115.7464523;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,9-10h,1-2km;129.363678;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,10-11h,1-2km;142.980896;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,11-12h,1-2km;156.5981445;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,>12h,1-2km;163.472168;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,0-1h,0-1km;6.363599777;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,1-2h,0-1km;12.35397816;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,2-3h,0-1km;18.45512772;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,3-4h,0-1km;25.23014641;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,4-5h,0-1km;32.07146072;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,5-6h,0-1km;39.198452;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,6-7h,0-1km;46.3254509;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,7-8h,0-1km;53.45241928;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,8-9h,0-1km;60.57942581;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,9-10h,0-1km;67.7064209;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,10-11h,0-1km;74.83340454;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,11-12h,0-1km;81.9604187;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,>12h,0-1km;85.55812073;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,0-1h,1-2km;9.990269661;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,1-2h,1-2km;26.0961132;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,2-3h,1-2km;40.98036194;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,3-4h,1-2km;56.57289505;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,4-5h,1-2km;72.2416687;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,5-6h,1-2km;88.29536438;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,6-7h,1-2km;104.3490906;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,7-8h,1-2km;120.4028015;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,8-9h,1-2km;136.4565125;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,9-10h,1-2km;152.5101624;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,10-11h,1-2km;168.5639038;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,11-12h,1-2km;184.6175842;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(total);Urban;TØ,>12h,1-2km;192.7215576;;;;;
